County,White,Black,AIAN,Asian,NHOPI,More Races
Adams,89.61,2.21,5.50,1.42,0.05,1.20
Asotin,93.64,0.64,1.58,0.82,0.26,3.07
Benton,90.16,1.67,1.24,3.39,0.23,3.30
Chelan,93.59,0.65,1.91,1.18,0.25,2.42
Clallam,86.75,1.04,5.58,1.87,0.19,4.57
Clark,86.01,2.38,1.07,5.16,0.83,4.55
Columbia,92.67,0.41,1.92,0.94,1.15,2.91
Cowlitz,90.92,0.89,1.92,1.82,0.37,4.08
Douglas,93.79,0.57,1.76,1.04,0.25,2.59
Ferry,76.19,0.51,15.64,1.33,0.19,6.13
Franklin,91.03,2.30,1.30,2.34,0.43,2.60
Garfield,96.17,0.00,0.59,1.26,0.05,1.94
Grant,92.45,1.80,1.95,1.19,0.13,2.48
Grays Harbor,86.91,1.32,5.30,1.76,0.34,4.38
Island,85.33,2.62,0.94,5.35,0.61,5.16
Jefferson,90.45,0.97,2.60,1.97,0.27,3.73
King,67.08,7.02,1.02,18.48,0.91,5.49
Kitsap,81.55,3.14,1.71,5.84,1.09,6.66
Kittitas,92.20,1.00,1.17,2.16,0.17,3.30
Klickitat,92.88,0.57,2.22,0.82,0.10,3.42
Lewis,92.12,0.77,1.91,1.21,0.24,3.75
Lincoln,94.55,0.43,1.81,0.54,0.07,2.60
Mason,87.58,1.26,4.58,1.51,0.48,4.60
Okanogan,82.08,0.64,12.33,0.99,0.30,3.66
Pacific,89.95,0.93,2.73,2.42,0.12,3.84
Pend Oreille,91.03,0.58,3.89,0.89,0.15,3.45
Pierce,73.88,7.69,1.63,7.29,1.71,7.80
San Juan,94.07,0.57,0.94,1.53,0.12,2.77
Skagit,90.13,0.99,2.80,2.37,0.32,3.38
Skamania,92.88,0.51,1.67,1.14,0.17,3.63
Snohomish,77.91,3.23,1.56,11.53,0.61,5.17
Spokane,88.62,1.98,1.73,2.63,0.59,4.44
Stevens,88.93,0.46,5.72,0.78,0.20,3.91
Thurston,81.63,3.23,1.59,6.46,0.97,6.12
Wahkiakum,93.20,0.43,1.41,0.93,0.19,3.84
Walla Walla,91.45,2.18,1.37,1.70,0.40,2.91
Whatcom,86.46,1.23,3.23,4.48,0.33,4.26
Whitman,81.90,1.99,0.84,10.51,0.23,4.52
Yakima,87.29,1.51,5.88,1.70,0.22,3.40